ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"101.109.80.117","elite","AS23969","TH","TOT Public Company Limited","163","TOT Public Company Limited","4145","socks4","4599","1","2024-01-29T03:53:34.511Z","47","2797","5935"
"181.3.165.234","elite","AS7303","AR","Telecom Argentina S.A.","627","Telecom Personal Bs","1080","socks4","164","1","2024-01-29T03:53:15.511Z","28","1638","5847"
"203.30.191.92","elite","AS209242","BZ","Cloudflare London, LLC","11","Umpire Associates LTD","80","socks5","4605","2","2024-01-29T03:53:15.509Z","100","5856","5857"
"138.186.93.4","elite","AS263124","BR","ZAP TELECOM LTDA","219","ZAP TELECOM LTDA","5678","socks4","610","1","2024-01-29T03:52:57.315Z","84","5006","5965"
"202.162.214.250","elite","AS9341","ID","PT Indonesia Comnets Plus","186","N/A","3128","socks4","4211","1","2024-01-29T03:52:57.417Z","98","5797","5892"
"202.159.35.65","elite","AS9340","ID","PT IndoInternet","169","N/A","443","socks4","3614","1","2024-01-29T03:52:57.318Z","99","5810","5849"
"95.79.99.159","elite","AS42682","RU","JSC \"ER-Telecom Holding\"","49","JSC \"ER-Telecom Holding\" Nizhny Novgorod","44068","socks4","3892","1","2024-01-29T03:52:57.418Z","100","5783","5809"
"104.129.205.15","elite","AS22616","US","ZSCALER, INC.","92","Zscaler, Inc.","10289","socks5","5095","1","2024-01-29T03:52:57.316Z","93","5422","5845"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","186","N/A","1080","socks4","4403","1","2024-01-29T03:52:57.314Z","73","4276","5852"
"99.26.74.89","elite","AS7018","US","AT&T Services, Inc.","199","Martha Martinez","39593","socks4","3809","1","2024-01-29T03:52:57.317Z","89","5276","5905"
"128.199.16.89","elite","AS14061","IN","DigitalOcean, LLC","128","DigitalOcean, LLC","53989","socks5","2196","1","2024-01-29T03:52:39.309Z","53","3081","5815"
"211.174.105.26","elite","AS4766","KR","Korea Telecom","252","Netropy","4153","socks4","4614","1","2024-01-29T03:52:39.309Z","100","5919","5941"
"103.47.93.216","elite","AS134058","IN","Broban Internet Services Pvt.ltd","281","Broban  PVT Ltd.","1080","socks4","704","1","2024-01-29T03:52:39.308Z","99","5765","5810"
"115.160.160.38","elite","AS9381","HK","HKBN Enterprise Solutions HK Limited","204","HKBNES","3128","socks4","2193","1","2024-01-29T03:52:39.308Z","100","5901","5919"
"168.227.158.85","elite","AS52898","BR","Multipla Serviços Inteligentes","294","Multipla Serviços Inteligentes","4145","socks4","4801","1","2024-01-29T03:52:39.304Z","99","5832","5884"
"103.254.175.181","elite","AS45117","IN","INPL BB","287","N/A","8080","socks4","4308","1","2024-01-29T03:52:39.302Z","99","5737","5778"
"173.236.188.26","elite","AS26347","US","New Dream Network, LLC","79","New Dream Network, LLC","54262","socks5","4501","1","2024-01-29T03:52:21.507Z","100","5838","5846"
"192.163.252.85","elite","AS46606","US","Unified Layer","138","Unified Layer","52119","socks5","3404","1","2024-01-29T03:52:21.508Z","100","5872","5888"
"168.227.158.9","elite","AS52898","BR","Multipla Serviços Inteligentes","226","Multipla Serviços Inteligentes","4145","socks4","4891","1","2024-01-29T03:52:21.509Z","99","5812","5851"
"212.103.119.24","elite","AS57044","RU","CJSC \"ER-Telecom Holding\" Bryansk branch","103","JSC \"ER-Telecom Holding\" Bryansk Branch","1080","socks5","3211","1","2024-01-29T03:52:03.511Z","96","5506","5753"
"165.227.112.138","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","1080","socks4","4990","1","2024-01-29T03:52:03.604Z","75","4348","5835"
"130.61.31.199","elite","AS31898","DE","Oracle Corporation","11","Oracle Cloud Infrastructure (eu-frankfurt-1)","65002","socks4","4984","1","2024-01-29T03:52:03.603Z","30","1791","5875"
"136.244.89.35","elite","AS20473","DE","The Constant Company","10","Vultr Holdings, LLC","10487","socks4","4914","1","2024-01-29T03:52:03.512Z","55","3231","5900"
"91.193.237.180","elite","AS42916","RU","NKOORT","49","IT Ltd","3389","socks4","3605","1","2024-01-29T03:51:45.513Z","99","5821","5851"
"180.183.224.240","elite","AS45629","TH","Triple T Broadband Public Company Limited","161","Triple T Broadband Public Company Limited","4153","socks4","4791","1","2024-01-29T03:51:45.512Z","88","5112","5809"
"140.250.92.253","elite","AS4134","CN","Chinanet","277","Chinanet SD","1080","socks4","4412","2","2024-01-29T03:51:45.509Z","82","4850","5922"
"139.162.156.92","elite","AS63949","DE","Akamai Technologies, Inc.","12","Linode, LLC","7497","socks5","2682","1","2024-01-29T03:51:45.514Z","98","5719","5825"
"46.227.36.1","elite","AS51155","PL","Telemedian - TB Telecom","41","Telemedian","1088","socks4","4301","1","2024-01-29T03:51:45.606Z","100","5742","5759"
"139.170.229.78","elite","AS4837","CN","China Unicom Qinghai Province Network","204","N/A","7080","socks5","2993","1","2024-01-29T03:51:27.309Z","90","5256","5868"
"157.230.36.225","elite","AS14061","SG","DigitalOcean, LLC","158","DigitalOcean, LLC","7497","socks5","117","1","2024-01-29T03:51:27.312Z","50","2914","5837"
"37.193.227.108","elite","AS31200","RU","Novotelecom Ltd","90","Novotelecom ltd.","1080","socks5","3395","1","2024-01-29T03:51:27.312Z","89","5266","5893"
"187.95.80.141","elite","AS262696","BR","Turbonet Telecomunicações","191","Turbonet Telecomunicações","3629","socks4","4704","1","2024-01-29T03:51:09.021Z","99","5880","5929"
"104.16.105.146","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4700","1","2024-01-29T03:51:09.102Z","100","5761","5761"
"213.16.81.147","elite","AS12301","HU","Invitech ICT Services Kft.","39","SzerSzoft","5678","socks4","485","1","2024-01-29T03:50:51.010Z","99","5926","5966"
"168.227.158.73","elite","AS52898","BR","Multipla Serviços Inteligentes","284","Multipla Serviços Inteligentes","4145","socks4","1795","81","2024-01-29T03:50:51.014Z","99","5842","5890"
"185.171.52.101","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","100","Shahrad","4153","socks4","1788","85","2024-01-29T03:50:51.015Z","97","5710","5910"
"118.174.209.189","elite","AS23969","TH","TOT Public Company Limited","152","TOT Public Company Limited","4145","socks4","1088","5","2024-01-29T03:50:51.016Z","64","3765","5895"
